timestamp,home_team,away_team,score
469,Liverpool FC,Aston Villa,lose
469,Chelsea FC,Leeds United,win
469,Leicester City,Newcastle United,win
469,Crystal Palace,Everton FC,draw
469,Brentford FC,Watford FC,win
469,Brighton & Hove Albion,Tottenham Hotspur,lose
469,Arsenal FC,Southampton FC,draw
469,Manchester City,Wolverhampton Wanderers,lose
469,Burnley FC,West Ham United,draw
469,Norwich City,Manchester United,lose
470,Manchester City,Leeds United,win
470,Brentford FC,Manchester United,lose
470,Norwich City,Aston Villa,win
470,Brighton & Hove Albion,Wolverhampton Wanderers,win
470,Burnley FC,Watford FC,win
470,Arsenal FC,West Ham United,win
470,Leicester City,Tottenham Hotspur,lose
470,Liverpool FC,Newcastle United,win
470,Chelsea FC,Everton FC,draw
470,Crystal Palace,Southampton FC,win
471,Aston Villa,Burnley FC,win
471,Southampton FC,Brentford FC,win
471,Watford FC,Crystal Palace,win
471,West Ham United,Norwich City,draw
471,Everton FC,Leicester City,lose
471,Manchester United,Brighton & Hove Albion,win
471,Wolverhampton Wanderers,Chelsea FC,lose
471,Newcastle United,Manchester City,lose
471,Tottenham Hotspur,Liverpool FC,lose
471,Leeds United,Arsenal FC,lose
472,Newcastle United,Manchester United,lose
472,Wolverhampton Wanderers,Watford FC,lose
472,Aston Villa,Chelsea FC,lose
472,Brighton & Hove Albion,Brentford FC,win
472,West Ham United,Southampton FC,win
472,Tottenham Hotspur,Crystal Palace,win
472,Norwich City,Arsenal FC,draw
472,Manchester City,Leicester City,lose
472,Burnley FC,Everton FC,win
472,Liverpool FC,Leeds United,lose
473,Manchester United,Burnley FC,lose
473,Everton FC,Newcastle United,win
473,Chelsea FC,Brighton & Hove Albion,win
473,Leicester City,Liverpool FC,lose
473,Brentford FC,Manchester City,lose
473,Arsenal FC,Wolverhampton Wanderers,draw
473,Leeds United,Aston Villa,win
473,Watford FC,West Ham United,win
473,Southampton FC,Tottenham Hotspur,lose
473,Crystal Palace,Norwich City,win
474,Arsenal FC,Manchester City,lose
474,Manchester United,Wolverhampton Wanderers,draw
474,Chelsea FC,Liverpool FC,lose
474,Leeds United,Burnley FC,win
474,Southampton FC,Newcastle United,win
474,Everton FC,Brighton & Hove Albion,win
474,Brentford FC,Aston Villa,win
474,Leicester City,Norwich City,draw
474,Crystal Palace,West Ham United,draw
474,Watford FC,Tottenham Hotspur,draw
475,Tottenham Hotspur,Arsenal FC,draw
475,Liverpool FC,Brentford FC,win
475,Manchester City,Chelsea FC,lose
475,Norwich City,Everton FC,draw
475,Burnley FC,Leicester City,win
475,Wolverhampton Wanderers,Southampton FC,draw
475,Newcastle United,Watford FC,win
475,Aston Villa,Manchester United,lose
475,Brighton & Hove Albion,Crystal Palace,win
475,West Ham United,Leeds United,win
476,Chelsea FC,Tottenham Hotspur,draw
476,Crystal Palace,Liverpool FC,lose
476,Manchester United,West Ham United,win
476,Southampton FC,Manchester City,lose
476,Leicester City,Brighton & Hove Albion,draw
476,Arsenal FC,Burnley FC,win
476,Brentford FC,Wolverhampton Wanderers,lose
476,Everton FC,Aston Villa,win
476,Watford FC,Norwich City,win
476,Leeds United,Newcastle United,win
477,Brighton & Hove Albion,Chelsea FC,lose
477,Norwich City,Crystal Palace,draw
477,Wolverhampton Wanderers,Arsenal FC,win
477,Aston Villa,Leeds United,win
477,Burnley FC,Manchester United,lose
477,Liverpool FC,Leicester City,win
477,West Ham United,Watford FC,win
477,Manchester City,Brentford FC,win
477,Newcastle United,Everton FC,win
477,Tottenham Hotspur,Southampton FC,lose
478,Brentford FC,Crystal Palace,win
479,Arsenal FC,Brentford FC,win
480,Brighton & Hove Albion,Aston Villa,draw
481,Newcastle United,Brighton & Hove Albion,draw
482,Brighton & Hove Albion,Liverpool FC,lose
483,Aston Villa,Arsenal FC,win
484,Brighton & Hove Albion,Norwich City,win
485,Arsenal FC,Brighton & Hove Albion,draw
486,Aston Villa,Liverpool FC,lose
487,Leicester City,Aston Villa,win
488,Aston Villa,Norwich City,win
489,Burnley FC,Aston Villa,draw
490,Aston Villa,Crystal Palace,win
491,Chelsea FC,Watford FC,win
491,Crystal Palace,Manchester United,lose
491,Norwich City,Tottenham Hotspur,lose
491,Manchester City,Aston Villa,win
491,Brighton & Hove Albion,West Ham United,win
491,Burnley FC,Newcastle United,win
491,Liverpool FC,Wolverhampton Wanderers,lose
491,Leicester City,Southampton FC,draw
491,Arsenal FC,Everton FC,draw
491,Brentford FC,Leeds United,win
